BioProject,BioProject Submission,DRA Submission,BioSample,BioSample Submission,Sample Name,Experiment,Experiment alias,Experiment Title,Library Source,Library Strategy,Library Name,Library Layout,Run,Run Alias,Run Title,Run Files
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333616,ushio-0017_Experiment_0082,iSeq 100 paired end sequencing of E02_T004_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S002,PAIRED,DRR344668,ushio-0017_Run_0082,iSeq 100 paired end sequencing of E02_T004_S002,"E02_T004_S002_trimmed_R1.fastq.gz,E02_T004_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333617,ushio-0017_Experiment_0083,iSeq 100 paired end sequencing of E02_T004_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S003,PAIRED,DRR344669,ushio-0017_Run_0083,iSeq 100 paired end sequencing of E02_T004_S003,"E02_T004_S003_trimmed_R1.fastq.gz,E02_T004_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333618,ushio-0017_Experiment_0084,iSeq 100 paired end sequencing of E02_T004_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S004,PAIRED,DRR344670,ushio-0017_Run_0084,iSeq 100 paired end sequencing of E02_T004_S004,"E02_T004_S004_trimmed_R1.fastq.gz,E02_T004_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333619,ushio-0017_Experiment_0085,iSeq 100 paired end sequencing of E02_T004_S006,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S006,PAIRED,DRR344671,ushio-0017_Run_0085,iSeq 100 paired end sequencing of E02_T004_S006,"E02_T004_S006_trimmed_R1.fastq.gz,E02_T004_S006_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333620,ushio-0017_Experiment_0086,iSeq 100 paired end sequencing of E02_T004_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S007,PAIRED,DRR344672,ushio-0017_Run_0086,iSeq 100 paired end sequencing of E02_T004_S007,"E02_T004_S007_trimmed_R1.fastq.gz,E02_T004_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333621,ushio-0017_Experiment_0087,iSeq 100 paired end sequencing of E02_T005_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T005_S001,PAIRED,DRR344673,ushio-0017_Run_0087,iSeq 100 paired end sequencing of E02_T005_S001,"E02_T005_S001_trimmed_R1.fastq.gz,E02_T005_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333622,ushio-0017_Experiment_0088,iSeq 100 paired end sequencing of E02_T005_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T005_S002,PAIRED,DRR344674,ushio-0017_Run_0088,iSeq 100 paired end sequencing of E02_T005_S002,"E02_T005_S002_trimmed_R1.fastq.gz,E02_T005_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333623,ushio-0017_Experiment_0089,iSeq 100 paired end sequencing of E02_T005_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T005_S003,PAIRED,DRR344675,ushio-0017_Run_0089,iSeq 100 paired end sequencing of E02_T005_S003,"E02_T005_S003_trimmed_R1.fastq.gz,E02_T005_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333624,ushio-0017_Experiment_0090,iSeq 100 paired end sequencing of E02_T005_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T005_S004,PAIRED,DRR344676,ushio-0017_Run_0090,iSeq 100 paired end sequencing of E02_T005_S004,"E02_T005_S004_trimmed_R1.fastq.gz,E02_T005_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333625,ushio-0017_Experiment_0091,iSeq 100 paired end sequencing of E02_T005_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T005_S007,PAIRED,DRR344677,ushio-0017_Run_0091,iSeq 100 paired end sequencing of E02_T005_S007,"E02_T005_S007_trimmed_R1.fastq.gz,E02_T005_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333626,ushio-0017_Experiment_0092,iSeq 100 paired end sequencing of E02_T006_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T006_S001,PAIRED,DRR344678,ushio-0017_Run_0092,iSeq 100 paired end sequencing of E02_T006_S001,"E02_T006_S001_trimmed_R1.fastq.gz,E02_T006_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333627,ushio-0017_Experiment_0093,iSeq 100 paired end sequencing of E02_T006_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T006_S002,PAIRED,DRR344679,ushio-0017_Run_0093,iSeq 100 paired end sequencing of E02_T006_S002,"E02_T006_S002_trimmed_R1.fastq.gz,E02_T006_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333628,ushio-0017_Experiment_0094,iSeq 100 paired end sequencing of E02_T006_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T006_S003,PAIRED,DRR344680,ushio-0017_Run_0094,iSeq 100 paired end sequencing of E02_T006_S003,"E02_T006_S003_trimmed_R1.fastq.gz,E02_T006_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333629,ushio-0017_Experiment_0095,iSeq 100 paired end sequencing of E02_T006_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T006_S004,PAIRED,DRR344681,ushio-0017_Run_0095,iSeq 100 paired end sequencing of E02_T006_S004,"E02_T006_S004_trimmed_R1.fastq.gz,E02_T006_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333630,ushio-0017_Experiment_0096,iSeq 100 paired end sequencing of E02_T006_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T006_S007,PAIRED,DRR344682,ushio-0017_Run_0096,iSeq 100 paired end sequencing of E02_T006_S007,"E02_T006_S007_trimmed_R1.fastq.gz,E02_T006_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333631,ushio-0017_Experiment_0097,iSeq 100 paired end sequencing of E02_T007_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T007_S001,PAIRED,DRR344683,ushio-0017_Run_0097,iSeq 100 paired end sequencing of E02_T007_S001,"E02_T007_S001_trimmed_R1.fastq.gz,E02_T007_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333632,ushio-0017_Experiment_0098,iSeq 100 paired end sequencing of E02_T008_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S001,PAIRED,DRR344684,ushio-0017_Run_0098,iSeq 100 paired end sequencing of E02_T008_S001,"E02_T008_S001_trimmed_R1.fastq.gz,E02_T008_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333633,ushio-0017_Experiment_0099,iSeq 100 paired end sequencing of E02_T008_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S002,PAIRED,DRR344685,ushio-0017_Run_0099,iSeq 100 paired end sequencing of E02_T008_S002,"E02_T008_S002_trimmed_R1.fastq.gz,E02_T008_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333634,ushio-0017_Experiment_0100,iSeq 100 paired end sequencing of E02_T008_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S003,PAIRED,DRR344686,ushio-0017_Run_0100,iSeq 100 paired end sequencing of E02_T008_S003,"E02_T008_S003_trimmed_R1.fastq.gz,E02_T008_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333635,ushio-0017_Experiment_0101,iSeq 100 paired end sequencing of E02_T008_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S004,PAIRED,DRR344687,ushio-0017_Run_0101,iSeq 100 paired end sequencing of E02_T008_S004,"E02_T008_S004_trimmed_R1.fastq.gz,E02_T008_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333636,ushio-0017_Experiment_0102,iSeq 100 paired end sequencing of E02_T008_S005,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S005,PAIRED,DRR344688,ushio-0017_Run_0102,iSeq 100 paired end sequencing of E02_T008_S005,"E02_T008_S005_trimmed_R1.fastq.gz,E02_T008_S005_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333637,ushio-0017_Experiment_0103,iSeq 100 paired end sequencing of E02_T008_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S007,PAIRED,DRR344689,ushio-0017_Run_0103,iSeq 100 paired end sequencing of E02_T008_S007,"E02_T008_S007_trimmed_R1.fastq.gz,E02_T008_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333638,ushio-0017_Experiment_0104,iSeq 100 paired end sequencing of E02_T008_S009,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T008_S009,PAIRED,DRR344690,ushio-0017_Run_0104,iSeq 100 paired end sequencing of E02_T008_S009,"E02_T008_S009_trimmed_R1.fastq.gz,E02_T008_S009_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333639,ushio-0017_Experiment_0105,iSeq 100 paired end sequencing of E02_T009_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T009_S001,PAIRED,DRR344691,ushio-0017_Run_0105,iSeq 100 paired end sequencing of E02_T009_S001,"E02_T009_S001_trimmed_R1.fastq.gz,E02_T009_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333640,ushio-0017_Experiment_0106,iSeq 100 paired end sequencing of E02_T009_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T009_S003,PAIRED,DRR344692,ushio-0017_Run_0106,iSeq 100 paired end sequencing of E02_T009_S003,"E02_T009_S003_trimmed_R1.fastq.gz,E02_T009_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333641,ushio-0017_Experiment_0107,iSeq 100 paired end sequencing of E02_T009_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T009_S007,PAIRED,DRR344693,ushio-0017_Run_0107,iSeq 100 paired end sequencing of E02_T009_S007,"E02_T009_S007_trimmed_R1.fastq.gz,E02_T009_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333642,ushio-0017_Experiment_0108,iSeq 100 paired end sequencing of E02_T009_S009,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T009_S009,PAIRED,DRR344694,ushio-0017_Run_0108,iSeq 100 paired end sequencing of E02_T009_S009,"E02_T009_S009_trimmed_R1.fastq.gz,E02_T009_S009_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333643,ushio-0017_Experiment_0109,iSeq 100 paired end sequencing of E02_T010_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S001,PAIRED,DRR344695,ushio-0017_Run_0109,iSeq 100 paired end sequencing of E02_T010_S001,"E02_T010_S001_trimmed_R1.fastq.gz,E02_T010_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333644,ushio-0017_Experiment_0110,iSeq 100 paired end sequencing of E02_T010_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S002,PAIRED,DRR344696,ushio-0017_Run_0110,iSeq 100 paired end sequencing of E02_T010_S002,"E02_T010_S002_trimmed_R1.fastq.gz,E02_T010_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333645,ushio-0017_Experiment_0111,iSeq 100 paired end sequencing of E02_T010_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S003,PAIRED,DRR344697,ushio-0017_Run_0111,iSeq 100 paired end sequencing of E02_T010_S003,"E02_T010_S003_trimmed_R1.fastq.gz,E02_T010_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333646,ushio-0017_Experiment_0112,iSeq 100 paired end sequencing of E02_T010_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S004,PAIRED,DRR344698,ushio-0017_Run_0112,iSeq 100 paired end sequencing of E02_T010_S004,"E02_T010_S004_trimmed_R1.fastq.gz,E02_T010_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333647,ushio-0017_Experiment_0113,iSeq 100 paired end sequencing of E02_T010_S005,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S005,PAIRED,DRR344699,ushio-0017_Run_0113,iSeq 100 paired end sequencing of E02_T010_S005,"E02_T010_S005_trimmed_R1.fastq.gz,E02_T010_S005_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333648,ushio-0017_Experiment_0114,iSeq 100 paired end sequencing of E02_T010_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S007,PAIRED,DRR344700,ushio-0017_Run_0114,iSeq 100 paired end sequencing of E02_T010_S007,"E02_T010_S007_trimmed_R1.fastq.gz,E02_T010_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333649,ushio-0017_Experiment_0115,iSeq 100 paired end sequencing of E02_T010_S008,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S008,PAIRED,DRR344701,ushio-0017_Run_0115,iSeq 100 paired end sequencing of E02_T010_S008,"E02_T010_S008_trimmed_R1.fastq.gz,E02_T010_S008_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333650,ushio-0017_Experiment_0116,iSeq 100 paired end sequencing of E02_T010_S009,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T010_S009,PAIRED,DRR344702,ushio-0017_Run_0116,iSeq 100 paired end sequencing of E02_T010_S009,"E02_T010_S009_trimmed_R1.fastq.gz,E02_T010_S009_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333651,ushio-0017_Experiment_0117,iSeq 100 paired end sequencing of E02_T011_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S001,PAIRED,DRR344703,ushio-0017_Run_0117,iSeq 100 paired end sequencing of E02_T011_S001,"E02_T011_S001_trimmed_R1.fastq.gz,E02_T011_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333652,ushio-0017_Experiment_0118,iSeq 100 paired end sequencing of E02_T011_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S002,PAIRED,DRR344704,ushio-0017_Run_0118,iSeq 100 paired end sequencing of E02_T011_S002,"E02_T011_S002_trimmed_R1.fastq.gz,E02_T011_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333653,ushio-0017_Experiment_0119,iSeq 100 paired end sequencing of E02_T011_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S003,PAIRED,DRR344705,ushio-0017_Run_0119,iSeq 100 paired end sequencing of E02_T011_S003,"E02_T011_S003_trimmed_R1.fastq.gz,E02_T011_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333654,ushio-0017_Experiment_0120,iSeq 100 paired end sequencing of E02_T011_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S004,PAIRED,DRR344706,ushio-0017_Run_0120,iSeq 100 paired end sequencing of E02_T011_S004,"E02_T011_S004_trimmed_R1.fastq.gz,E02_T011_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333655,ushio-0017_Experiment_0121,iSeq 100 paired end sequencing of E02_T011_S005,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S005,PAIRED,DRR344707,ushio-0017_Run_0121,iSeq 100 paired end sequencing of E02_T011_S005,"E02_T011_S005_trimmed_R1.fastq.gz,E02_T011_S005_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333656,ushio-0017_Experiment_0122,iSeq 100 paired end sequencing of E02_T011_S006,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S006,PAIRED,DRR344708,ushio-0017_Run_0122,iSeq 100 paired end sequencing of E02_T011_S006,"E02_T011_S006_trimmed_R1.fastq.gz,E02_T011_S006_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333657,ushio-0017_Experiment_0123,iSeq 100 paired end sequencing of E02_T011_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S007,PAIRED,DRR344709,ushio-0017_Run_0123,iSeq 100 paired end sequencing of E02_T011_S007,"E02_T011_S007_trimmed_R1.fastq.gz,E02_T011_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333658,ushio-0017_Experiment_0124,iSeq 100 paired end sequencing of E02_T011_S008,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T011_S008,PAIRED,DRR344710,ushio-0017_Run_0124,iSeq 100 paired end sequencing of E02_T011_S008,"E02_T011_S008_trimmed_R1.fastq.gz,E02_T011_S008_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333659,ushio-0017_Experiment_0125,iSeq 100 paired end sequencing of E02_T012_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S001,PAIRED,DRR344711,ushio-0017_Run_0125,iSeq 100 paired end sequencing of E02_T012_S001,"E02_T012_S001_trimmed_R1.fastq.gz,E02_T012_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333660,ushio-0017_Experiment_0126,iSeq 100 paired end sequencing of E02_T012_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S002,PAIRED,DRR344712,ushio-0017_Run_0126,iSeq 100 paired end sequencing of E02_T012_S002,"E02_T012_S002_trimmed_R1.fastq.gz,E02_T012_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333661,ushio-0017_Experiment_0127,iSeq 100 paired end sequencing of E02_T012_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S003,PAIRED,DRR344713,ushio-0017_Run_0127,iSeq 100 paired end sequencing of E02_T012_S003,"E02_T012_S003_trimmed_R1.fastq.gz,E02_T012_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333662,ushio-0017_Experiment_0128,iSeq 100 paired end sequencing of E02_T012_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S004,PAIRED,DRR344714,ushio-0017_Run_0128,iSeq 100 paired end sequencing of E02_T012_S004,"E02_T012_S004_trimmed_R1.fastq.gz,E02_T012_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333663,ushio-0017_Experiment_0129,iSeq 100 paired end sequencing of E02_T012_S006,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S006,PAIRED,DRR344715,ushio-0017_Run_0129,iSeq 100 paired end sequencing of E02_T012_S006,"E02_T012_S006_trimmed_R1.fastq.gz,E02_T012_S006_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333664,ushio-0017_Experiment_0130,iSeq 100 paired end sequencing of E02_T012_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S007,PAIRED,DRR344716,ushio-0017_Run_0130,iSeq 100 paired end sequencing of E02_T012_S007,"E02_T012_S007_trimmed_R1.fastq.gz,E02_T012_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333665,ushio-0017_Experiment_0131,iSeq 100 paired end sequencing of E02_T012_S008,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T012_S008,PAIRED,DRR344717,ushio-0017_Run_0131,iSeq 100 paired end sequencing of E02_T012_S008,"E02_T012_S008_trimmed_R1.fastq.gz,E02_T012_S008_trimmed_R2.fastq.gz"
